Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
OM065346,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-49,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-01-29,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,31-year-old COVID-19 pneumonia/CHN/LA-49/2020, complete genome"
OM065347,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-62,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-01-29,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,63-year-old COVID-19 pneumonia/CHN/LA-62/2020, complete genome"
OM065348,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-63,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-01-29,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human:male,45-year-old COVID-19 pneumonia/CHN/LA-63/2020, complete genome"
OM065349,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-67,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-01-30,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:female,53-year-old COVID-19 pneumonia/CHN/LA-67/2020, complete genome"
OM065350,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-68,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-01-29,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,36-year-old COVID-19 pneumonia/CHN/LA-68/2020, complete genome"
OM065351,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-80,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-01-30,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,44-year-old COVID-19 pneumonia/CHN/LA-80/2020, complete genome"
OM065352,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-98,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-01-31,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,37-year-old COVID-19 pneumonia/CHN/LA-98/2020, complete genome"
OM065353,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-99,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-01-31,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,34-year-old COVID-19 pneumonia/CHN/LA-99/2020, complete genome"
OM065354,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-109,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-01,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,44-year-old COVID-19 pneumonia/CHN/LA-109/2020, complete genome"
OM065355,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-118,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-01,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,33-year-old COVID-19 pneumonia/CHN/LA-118/2020, complete genome"
OM065356,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-133,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-01,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:female,56-year-old COVID-19 pneumonia/CHN/LA-133/2020, complete genome"
OM065357,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-148,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-01,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:female,33-year-old COVID-19 pneumonia/CHN/LA-148/2020, complete genome"
OM065358,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-150,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-02,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,35-year-old COVID-19 pneumonia/CHN/LA-150/2020, complete genome"
OM065359,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-152,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-02,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:female,57-year-old COVID-19 pneumonia/CHN/LA-152/2020, complete genome"
OM065360,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-162,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-02,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:female,55-year-old COVID-19 pneumonia/CHN/LA-162/2020, complete genome"
OM065361,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-163,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-02,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,53-year-old COVID-19 pneumonia/CHN/LA-163/2020, complete genome"
OM065362,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-176,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-03,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:female,65-year-old COVID-19 pneumonia/CHN/LA-176/2020, complete genome"
OM065363,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-177,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-03,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:female,37-year-old COVID-19 pneumonia/CHN/LA-177/2020, complete genome"
OM065364,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-195,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-03,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,36-year-old COVID-19 pneumonia/CHN/LA-195/2020, complete genome"
OM065365,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-201,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-03,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,26-year-old COVID-19 pneumonia/CHN/LA-201/2020, complete genome"
OM065366,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-226,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,69-year-old COVID-19 pneumonia/CHN/LA-226/2020, complete genome"
OM065367,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-235,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-05,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:female,38-year-old COVID-19 pneumonia/CHN/LA-235/2020, complete genome"
OM065368,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-245,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-05,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,62-year-old COVID-19 pneumonia/CHN/LA-245/2020, complete genome"
OM065369,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-247,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-05,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,57-year-old COVID-19 pneumonia/CHN/LA-247/2020, complete genome"
OM065370,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-277,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,oronasopharynx,2020-02-05,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,22-year-old COVID-19 pneumonia/CHN/LA-277/2020, complete genome"
OM065371,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-295,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-06,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:female,61-year-old COVID-19 pneumonia/CHN/LA-295/2020, complete genome"
OM065372,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-319,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-06,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,42-year-old COVID-19 pneumonia/CHN/LA-319/2020, complete genome"
OM065373,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-338,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-07,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,42-year-old COVID-19 pneumonia/CHN/LA-338/2020, complete genome"
OM065374,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-339,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-07,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,3-year-old COVID-19 pneumonia/CHN/LA-339/2020, complete genome"
OM065375,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-352,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-07,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,45-year-old COVID-19 pneumonia/CHN/LA-352/2020, complete genome"
OM065376,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-353,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-07,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,46-year-old COVID-19 pneumonia/CHN/LA-353/2020, complete genome"
OM065377,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-359,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-07,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:female,48-year-old COVID-19 pneumonia/CHN/LA-359/2020, complete genome"
OM065378,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-383,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-07,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,29-year-old COVID-19 pneumonia/CHN/LA-383/2020, complete genome"
OM065379,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-395,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-07,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:female,37-year-old COVID-19 pneumonia/CHN/LA-395/2020, complete genome"
OM065380,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-409,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-08,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,40-year-old COVID-19 pneumonia/CHN/LA-409/2020, complete genome"
OM065381,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-425,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-08,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,40-year-old COVID-19 pneumonia/CHN/LA-425/2020, complete genome"
OM065382,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-445,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,oronasopharynx,2020-02-08,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:female,45-year-old COVID-19 pneumonia/CHN/LA-445/2020, complete genome"
OM065383,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-470,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,oronasopharynx,2020-02-08,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:female,25-year-old COVID-19 pneumonia/CHN/LA-470/2020, complete genome"
OM065384,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-483,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-09,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,22-year-old COVID-19 pneumonia/CHN/LA-483/2020, complete genome"
OM065385,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-570,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,"lung, oronasopharynx",2020-02-11,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,54-year-old COVID-19 pneumonia/CHN/LA-570/2020, complete genome"
OM065386,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-625,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,oronasopharynx,2020-02-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:female,37-year-old COVID-19 asymptomatic/CHN/LA-625/2020, complete genome"
OM065387,Severe acute respiratory syndrome coronavirus 2,,"Chang,H., Yang,W., Gao,D., Chen,Z., Zhang,F., Zhang,L., Chen,B., Zhang,Q., Li,Z., Zhu,R.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2022-01-05T00:00:00Z,LA-630,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,oronasopharynx,2020-02-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/humans:male,43-year-old COVID-19 pneumonia/CHN/LA-630/2020, complete genome"
